"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"C1";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C2";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C4";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"D1";"1N5819HW";"1N5819HW";"SOD3716X145N";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"";"";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"1.45mm";"Diodes Inc.";"1N5819HW";"";"";"";"";
"D2";"1N5819HW";"1N5819HW";"SOD3716X145N";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"";"";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"1.45mm";"Diodes Inc.";"1N5819HW";"";"";"";"";
"IC1";"SSW-115-01-G-S-LL";"SSW-115-01-G-S-LL";"RHDR15W79P0X254_1X15_3861X241X";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"SSW-115-01-G-S-LL";"https://www.arrow.com/en/products/ssw-115-01-g-s-ll/samtec?region=nac";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"8.51mm";"SAMTEC";"SSW-115-01-G-S-LL";"200-SSW11501GSLL";"https://www.mouser.co.uk/ProductDetail/Samtec/SSW-115-01-G-S-LL?qs=rU5fayqh%252BE2DWkaSQZyn6w%3D%3D";"";"";
"IC2";"SSW-115-01-G-S-LL";"SSW-115-01-G-S-LL";"RHDR15W79P0X254_1X15_3861X241X";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"SSW-115-01-G-S-LL";"https://www.arrow.com/en/products/ssw-115-01-g-s-ll/samtec?region=nac";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"8.51mm";"SAMTEC";"SSW-115-01-G-S-LL";"200-SSW11501GSLL";"https://www.mouser.co.uk/ProductDetail/Samtec/SSW-115-01-G-S-LL?qs=rU5fayqh%252BE2DWkaSQZyn6w%3D%3D";"";"";
"JP1";"Uno_4";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"67";"";
"JP2";"Uno_3";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"79";"";
"JP3";"Uno_2";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"35";"";
"JP4";"Uno_1";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"67";"";
"L1";"CBC3225T100KR";"CBC3225T100KR";"INDC3225X270N";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"CBC3225T100KR";"https://www.arrow.com/en/products/cbc3225t100kr/taiyo-yuden";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"2.7mm";"TAIYO YUDEN";"CBC3225T100KR";"963-CBC3225T100KR";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/CBC3225T100KR?qs=I6KAKw0tg2xBtBHDie3dYA%3D%3D";"";"";
